region,average_occupancy,average_movement,occupancy_normalized,movement_normalized,congestion_score
Top-Right,2.919881305637982,6.008161343960682,1.0,0.20766198293825955,0.7923380170617405
Top-Left,1.339080459770115,5.611118219661812,0.4586078403887487,0.19393885571452354,0.36966596060204593
Bottom-Left,1.0398009950248757,24.1522767226231,0.3561107066294544,0.8347827878715341,0.05883561815841643
Bottom-Right,1.1266666666666667,28.932408613987768,0.38586043360433603,1.0,0.0
