frame,region,vehicles
295,Top-Right,4.0
296,Top-Right,4.0
297,Top-Right,4.0
298,Top-Right,4.0
299,Top-Right,4.0
300,Top-Right,4.0
301,Top-Right,4.0
302,Top-Right,4.0
303,Top-Right,4.0
304,Top-Right,4.0
305,Top-Right,4.0
306,Top-Right,4.0
307,Top-Right,4.0
308,Top-Right,4.0
309,Top-Right,4.0
310,Top-Right,4.0
311,Top-Right,4.0
312,Top-Right,4.0
313,Top-Right,4.0
314,Top-Right,4.0
315,Top-Right,4.0
316,Top-Right,4.0
317,Top-Right,4.0
318,Top-Right,4.0
319,Top-Right,4.0
320,Top-Right,4.0
321,Top-Right,4.0
322,Top-Right,4.0
323,Top-Right,4.0
324,Top-Right,4.0
325,Top-Right,4.0
326,Top-Right,4.0
327,Top-Right,4.0
328,Top-Right,4.0
329,Top-Right,3.0
330,Top-Right,3.0
331,Top-Right,3.0
332,Bottom-Right,2.0
333,Bottom-Right,2.0
334,Bottom-Right,2.0
335,Bottom-Right,2.0
336,Bottom-Right,2.0
337,Bottom-Right,2.0
338,Bottom-Right,2.0
339,Bottom-Right,2.0
340,Bottom-Right,2.0
341,Bottom-Right,2.0
342,Bottom-Right,2.0
343,Top-Right,3.0
344,Top-Right,3.0
345,Top-Right,3.0
346,Top-Right,3.0
347,Top-Right,3.0
348,Top-Right,4.0
349,Top-Right,4.0
350,Top-Right,4.0
351,Top-Right,4.0
352,Top-Right,4.0
353,Top-Right,4.0
354,Top-Right,4.0
355,Top-Right,4.0
356,Top-Right,4.0
357,Top-Right,5.0
358,Top-Right,5.0
359,Top-Right,5.0
360,Top-Right,5.0
361,Top-Right,5.0
362,Top-Right,5.0
363,Top-Right,4.0
364,Top-Right,4.0
365,Top-Right,4.0
366,Top-Right,4.0
367,Top-Right,4.0
368,Top-Right,3.0
369,Top-Right,3.0
370,Top-Right,3.0
371,Top-Right,3.0
372,Top-Right,3.0
373,Top-Right,3.0
374,Top-Right,3.0
375,Top-Right,3.0
376,Top-Right,4.0
377,Top-Right,4.0
378,Top-Right,4.0
379,Top-Right,4.0
380,Top-Right,4.0
381,Top-Right,4.0
382,Top-Right,4.0
383,Top-Right,4.0
384,Top-Right,4.0
385,Top-Right,4.0
386,Top-Right,3.0
387,Top-Right,3.0
388,Top-Left,2.0
389,Top-Right,3.0
390,Top-Right,3.0
391,Top-Right,3.0
392,Top-Right,3.0
393,Top-Right,3.0
394,Top-Right,3.0
395,Top-Right,3.0
396,Top-Right,3.0
397,Top-Right,3.0
398,Top-Right,3.0
399,Top-Right,3.0
400,Top-Right,3.0
401,Top-Right,3.0
402,Top-Right,3.0
403,Top-Right,3.0
404,Top-Right,3.0
405,Top-Right,3.0
406,Top-Right,3.0
407,Top-Right,3.0
408,Top-Right,3.0
409,Top-Right,3.0
410,Top-Right,3.0
411,Top-Right,3.0
412,Top-Right,3.0
413,Top-Right,2.0
414,Top-Right,2.0
415,Top-Right,2.0
416,Top-Right,2.0
417,Top-Right,2.0
418,Top-Right,2.0
419,Top-Right,2.0
420,Top-Right,2.0
421,Top-Right,2.0
422,Top-Right,2.0
423,Top-Right,2.0
424,Top-Right,2.0
425,Top-Right,2.0
426,Top-Right,2.0
427,Top-Right,2.0
428,Top-Right,3.0
429,Top-Right,3.0
430,Bottom-Right,2.0
431,Bottom-Right,2.0
432,Bottom-Right,2.0
433,Bottom-Right,2.0
434,Top-Left,2.0
435,Top-Right,2.0
436,Top-Right,2.0
437,Top-Right,2.0
438,Top-Right,2.0
439,Top-Right,3.0
440,Top-Right,3.0
441,Top-Right,3.0
442,Top-Right,3.0
443,Top-Right,3.0
444,Top-Right,3.0
445,Top-Right,3.0
446,Top-Right,3.0
447,Top-Right,4.0
448,Top-Right,4.0
449,Top-Right,4.0
450,Top-Right,4.0
451,Top-Right,4.0
452,Top-Right,4.0
453,Top-Right,4.0
454,Top-Right,4.0
455,Top-Right,4.0
456,Top-Right,4.0
457,Top-Right,4.0
458,Top-Right,4.0
459,Top-Right,4.0
460,Top-Right,4.0
461,Top-Right,4.0
462,Top-Right,4.0
463,Top-Right,4.0
464,Top-Right,4.0
465,Top-Right,4.0
466,Top-Right,4.0
467,Top-Right,4.0
468,Top-Right,4.0
469,Top-Right,4.0
470,Top-Right,4.0
471,Top-Right,3.0
472,Top-Right,3.0
473,Top-Right,3.0
474,Top-Right,3.0
475,Top-Right,3.0
476,Top-Right,3.0
477,Top-Right,3.0
478,Top-Right,2.0
479,Top-Right,2.0
480,Top-Right,2.0
481,Top-Right,2.0
482,Top-Right,2.0
483,Top-Right,2.0
484,Top-Right,2.0
485,Top-Right,2.0
486,Top-Right,2.0
487,Top-Right,2.0
488,Top-Right,2.0
489,Top-Right,2.0
490,Top-Right,2.0
491,Top-Right,2.0
492,Top-Right,2.0
493,Top-Right,2.0
494,Top-Right,2.0
495,Top-Right,2.0
496,Top-Right,2.0
497,Top-Right,3.0
498,Top-Right,3.0
499,Top-Right,3.0
500,Top-Right,3.0
501,Top-Right,3.0
502,Top-Right,2.0
503,Top-Right,2.0
504,Top-Right,2.0
